trade_date,open,high,low,close,vol,MA5,MA10,MA20,RSI,MACD,MACD_Signal,MACD_Hist,Buy_Signal,Sell_Signal,Position,Portfolio_Value,BuyHold_Value
2025-02-20,1397.0057074910426,1405.4555390947467,1387.9529735833974,1388.527587890625,2374973,1391.658837890625,1373.4732421875,1365.726123046875,52.962012630471776,,,,0.0,0.0,1,10049.29,9905.914513420224
2025-02-21,1394.1796818351536,1409.9395459209848,1387.5950180777268,1401.91357421875,3641783,1394.1476318359375,1378.3914916992187,1367.6963439941405,56.62410736001695,,,,0.0,0.0,1,10142.99,10001.411669832982
2025-02-24,1401.7156955933215,1412.5677064740303,1388.5275102853197,1393.303466796875,3474373,1395.5511962890625,1382.8716918945313,1368.8418273925781,53.72667261305316,,,,0.0,0.0,1,10082.72,9939.986179395282
2025-02-25,1384.7688970850702,1387.9529064473334,1367.8032293726358,1369.687255859375,2838743,1391.5947265625,1386.2629516601562,1367.8621337890625,46.67230795912367,,,,0.0,0.0,1,9917.41,9771.505431358317
2025-02-26,1371.0532410165185,1380.0117968918069,1361.2092478162524,1375.348876953125,2636609,1385.75615234375,1387.86533203125,1367.478741455078,48.42077728856867,2.927908720116193,-0.6584382447495803,3.5863469648657733,0.0,1393.811914860725,0,9947.41,9811.896083334675
2025-02-27,1375.3581815132095,1403.5055415695633,1369.6872434408451,1399.417236328125,4976217,1387.93408203125,1389.7964599609375,1369.5775512695313,55.152602704855745,4.451559229705481,0.3635612501414319,4.087997979564049,0.0,0.0,0,9947.41,9983.602510002956
2025-02-28,1399.3606193498997,1439.754150275877,1396.0635731245718,1413.7640380859375,5612895,1390.3041748046876,1392.2259033203125,1372.2994995117188,58.619544948146306,6.739046701035932,1.6386583403203319,5.1003883607156,0.0,0.0,0,9947.41,10085.95423350726
2025-03-03,1415.4690046585988,1432.7926411240728,1395.5925492305323,1400.79248046875,3159566,1391.8019775390626,1393.6765869140625,1374.702569580078,54.51603632791292,7.419671357817833,2.794860943819832,4.624810413998001,0.0,0.0,0,9947.41,9993.413658885356
2025-03-04,1398.8897510209338,1399.8317643212847,1380.247271009597,1384.8631591796875,2521121,1394.837158203125,1393.2159423828125,1376.3567443847655,49.89674893314329,6.597654546108515,3.5554196642775686,3.0422348818309466,1366.444798299501,0.0,1,9937.72,9879.772060171446
2025-03-05,1386.6435050213931,1388.527531522781,1375.4335243397657,1381.3399658203125,2460522,1396.0353759765626,1390.8957641601562,1379.3038269042968,48.909631121271104,5.597384872413386,3.963812705904732,1.633572166508654,0.0,0.0,1,9913.06,9854.637196063173
2025-03-06,1388.527511253152,1422.628344433728,1386.7188044411564,1418.653076171875,4216764,1399.8825439453126,1393.9083129882813,1383.6907775878906,58.31518321243034,7.726454359843274,4.71634103669244,3.0101133231508337,0.0,0.0,1,10174.25,10120.833190003706
2025-03-07,1415.845885869314,1439.7353276029905,1415.845885869314,1432.8021240234375,3799135,1403.6901611328126,1396.99716796875,1387.6943298339843,61.22987665300148,10.435176956560099,5.860108220665972,4.575068735894127,0.0,0.0,1,10273.29,10221.774114538588
2025-03-10,1431.681130367879,1438.341113066066,1418.803768583662,1434.5919189453125,3136907,1410.450048828125,1401.1260131835938,1391.9988525390625,61.595686784160854,12.581251783008383,7.204336933134455,5.376914849873929,0.0,0.0,1,10285.82,10234.5427160754
2025-03-11,1429.0340459723964,1458.8770751953125,1424.323979901294,1458.8770751953125,3977560,1425.25283203125,1410.0449951171875,1398.1539733886718,66.2490491470358,16.056550772014816,8.974779700910528,7.0817710711042885,0.0,0.0,1,10455.82,10407.795796428676
2025-03-12,1457.2568822981207,1459.8192459110605,1437.8420016573662,1453.130859375,2960396,1439.6110107421875,1417.823193359375,1402.8442626953124,64.2648463469694,18.137995147855236,10.80742279029947,7.330572357555766,0.0,0.0,1,10415.59,10366.801636004286
